Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-9dvt,branch-ovqe,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Context,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1784200406908,16/07/2026 11:13:26,1784200406908,2,16/07/2026 13:13:26,273725,7,questionnaire-whir,,57245864,BLINDED,16363833,,complete,,,mobile,Xiaomi 2312DRAABG,Android 14,Facebook 569.0.0.44.91,393x873,392x743,,,0,Pytania demograficzne,4,AndWith,continue,,,,,info,,BEGIN,,,,,,
13,1784200423851,16/07/2026 11:13:43,1784200423851,2,16/07/2026 13:13:43,273725,7,questionnaire-whir,,57245864,BLINDED,16363833,,complete,,,mobile,Xiaomi 2312DRAABG,Android 14,Facebook 569.0.0.44.91,393x873,392x743,,,0,Pytania demograficzne,4,AndWith,continue,Page 1,rpksvw,1,**Zaznacz swoją płeć:**,response,value,Kobieta,,,Mężczyzna|Kobieta|Inna|Wolę nie odpowiadać,sex,1,object-2
14,1784200423852,16/07/2026 11:13:43,1784200423852,2,16/07/2026 13:13:43,273725,7,questionnaire-whir,,57245864,BLINDED,16363833,,complete,,,mobile,Xiaomi 2312DRAABG,Android 14,Facebook 569.0.0.44.91,393x873,392x743,,,0,Pytania demograficzne,4,AndWith,continue,Page 1,rpksvw,1,**Zaznacz swoją płeć:**,response,quantised,2,,,Mężczyzna|Kobieta|Inna|Wolę nie odpowiadać,sex,1,object-2
15,1784200423852,16/07/2026 11:13:43,1784200423852,2,16/07/2026 13:13:43,273725,7,questionnaire-whir,,57245864,BLINDED,16363833,,complete,,,mobile,Xiaomi 2312DRAABG,Android 14,Facebook 569.0.0.44.91,393x873,392x743,,,0,Pytania demograficzne,4,AndWith,continue,Page 1,rpksvw,1,**Podaj swój wiek w pełnych liczbach:**,response,value,19,,,,age,2,object-3
16,1784200423852,16/07/2026 11:13:43,1784200423852,2,16/07/2026 13:13:43,273725,7,questionnaire-whir,,57245864,BLINDED,16363833,,complete,,,mobile,Xiaomi 2312DRAABG,Android 14,Facebook 569.0.0.44.91,393x873,392x743,,,0,Pytania demograficzne,4,AndWith,continue,Page 1,rpksvw,1,**Jaki jest Twój poziom wykształcenia?**,response,value,w trakcie studiów,,,wykształcenie podstawowe|wykształcenie średnie|w trakcie studiów|wykształcenie wyższe,edu,3,object-4
17,1784200423853,16/07/2026 11:13:43,1784200423853,2,16/07/2026 13:13:43,273725,7,questionnaire-whir,,57245864,BLINDED,16363833,,complete,,,mobile,Xiaomi 2312DRAABG,Android 14,Facebook 569.0.0.44.91,393x873,392x743,,,0,Pytania demograficzne,4,AndWith,continue,Page 1,rpksvw,1,**Jaki jest Twój poziom wykształcenia?**,response,quantised,3,,,wykształcenie podstawowe|wykształcenie średnie|w trakcie studiów|wykształcenie wyższe,edu,3,object-4
18,1784200423854,16/07/2026 11:13:43,1784200423854,2,16/07/2026 13:13:43,273725,7,questionnaire-whir,,57245864,BLINDED,16363833,,complete,,,mobile,Xiaomi 2312DRAABG,Android 14,Facebook 569.0.0.44.91,393x873,392x743,,,0,Pytania demograficzne,4,AndWith,continue,Page 1,rpksvw,1,**Jak oceniasz swoją znajomość języka polskiego?**,response,value,"Bardzo dobrze, język polski jest moim pierwszym językiem (językiem ojczystym)",,,"Bardzo dobrze, język polski jest moim pierwszym językiem (językiem ojczystym)|Bardzo dobrze, posługuję się nim na co dzień|Dobrze|Średnio|Słabo",polish,4,object-5
19,1784200423854,16/07/2026 11:13:43,1784200423854,2,16/07/2026 13:13:43,273725,7,questionnaire-whir,,57245864,BLINDED,16363833,,complete,,,mobile,Xiaomi 2312DRAABG,Android 14,Facebook 569.0.0.44.91,393x873,392x743,,,0,Pytania demograficzne,4,AndWith,continue,Page 1,rpksvw,1,**Jak oceniasz swoją znajomość języka polskiego?**,response,quantised,1,,,"Bardzo dobrze, język polski jest moim pierwszym językiem (językiem ojczystym)|Bardzo dobrze, posługuję się nim na co dzień|Dobrze|Średnio|Słabo",polish,4,object-5
20,1784200423854,16/07/2026 11:13:43,1784200423854,2,16/07/2026 13:13:43,273725,7,questionnaire-whir,,57245864,BLINDED,16363833,,complete,,,mobile,Xiaomi 2312DRAABG,Android 14,Facebook 569.0.0.44.91,393x873,392x743,,,0,Pytania demograficzne,4,AndWith,continue,Page 1,rpksvw,1,**Jakie jest Twoje doświadczenie z logiką?**,response,value,Logika w szkole średniej ,,,Więcej niż dwa semestry logiki na studiach|1-2 semestry na studiach|Logika w szkole średniej |Brak doświadczenia,logic,5,object-6
21,1784200423855,16/07/2026 11:13:43,1784200423855,2,16/07/2026 13:13:43,273725,7,questionnaire-whir,,57245864,BLINDED,16363833,,complete,,,mobile,Xiaomi 2312DRAABG,Android 14,Facebook 569.0.0.44.91,393x873,392x743,,,0,Pytania demograficzne,4,AndWith,continue,Page 1,rpksvw,1,**Jakie jest Twoje doświadczenie z logiką?**,response,quantised,3,,,Więcej niż dwa semestry logiki na studiach|1-2 semestry na studiach|Logika w szkole średniej |Brak doświadczenia,logic,5,object-6
